State,District,Year,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Onion,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Dry chillies,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Ginger,Jute,Jute,Jute,Jute,Jute,Jute,Jute,Jute,Jute,Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Peas & beans (Pulses),Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Potato,Rapeseed &Mustard,Rapeseed &Mustard,Rapeseed &Mustard,Rapeseed &Mustard,Rapeseed &Mustard,Rapeseed &Mustard,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Turmeric,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Banana,Other Kharif pulses,Other Kharif pulses,Other Kharif pulses,Bhindi,Bhindi,Bhindi,Brinjal,Brinjal,Brinjal,Cabbage,Cabbage,Cabbage,Carrot,Carrot,Carrot,Cauliflower,Cauliflower,Cauliflower,Citrus Fruit,Citrus Fruit,Citrus Fruit,Jack Fruit,Jack Fruit,Jack Fruit,Mango,Mango,Mango,Other Fresh Fruits,Other Fresh Fruits,Other Fresh Fruits,Other Vegetables,Other Vegetables,Other Vegetables,Papaya,Papaya,Papaya,Pineapple,Pineapple,Pineapple,Pome Fruit,Pome Fruit,Pome Fruit,Redish,Redish,Redish,Tapioca,Tapioca,Tapioca,Tapioca,Tapioca,Tapioca,Tomato,Tomato,Tomato,Bitter Gourd,Bitter Gourd,Bitter Gourd,Bottle Gourd,Bottle Gourd,Bottle Gourd,Orange,Orange,Orange,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Sweet potato,Soyabean,Soyabean,Soyabean,Soyabean,Soyabean,Soyabean,Soyabean,Soyabean,Soyabean,Arhar/Tur,Arhar/Tur,Arhar/Tur,Cowpea(Lobia),Cowpea(Lobia),Cowpea(Lobia),Gram,Gram,Gram,Groundnut,Groundnut,Groundnut,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Masoor,Masoor,Masoor,Moong(Green Gram),Moong(Green Gram),Moong(Green Gram),Other Rabi pulses,Other Rabi pulses,Other Rabi pulses,Urad,Urad,Urad,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,other oilseeds,other oilseeds,other oilseeds,other oilseeds,other oilseeds,other oilseeds,Sesamum,Sesamum,Sesamum,Sesamum,Sesamum,Sesamum,Sesamum,Sesamum,Sesamum,Cashewnut,Cashewnut,Cashewnut,Kapas,Kapas,Kapas,Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Cotton(lint),Rubber,Rubber,Rubber
,,,Kharif,Kharif,Kharif,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Summer,Summer,Summer,Winter,Winter,Winter,Whole Year,Whole Year,Whole Year,Kharif,Kharif,Kharif,Autumn,Autumn,Autumn,Winter,Winter,Winter,Whole Year,Whole Year,Whole Year,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Summer,Summer,Summer,Winter,Winter,Winter,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Summer,Summer,Summer,Whole Year,Whole Year,Whole Year,Winter,Winter,Winter,Summer,Summer,Summer,Kharif,Kharif,Kharif,Autumn,Autumn,Autumn,Winter,Winter,Winter,Autumn,Autumn,Autumn,Summer,Summer,Summer,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Summer,Summer,Summer,Winter,Winter,Winter,Kharif,Kharif,Kharif,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Winter,Winter,Winter,Whole Year,Whole Year,Whole Year,Autumn,Autumn,Autumn,Summer,Summer,Summer,Rabi,Rabi,Rabi,Winter,Winter,Winter,Autumn,Autumn,Autumn,Whole Year,Whole Year,Whole Year,Summer,Summer,Summer,Winter,Winter,Winter,Whole Year,Whole Year,Whole Year,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Winter,Winter,Winter,Summer,Summer,Summer,Kharif,Kharif,Kharif,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Autumn,Autumn,Autumn,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Whole Year,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Winter,Winter,Winter,Kharif,Kharif,Kharif,Autumn,Autumn,Autumn,Winter,Winter,Winter,Kharif,Kharif,Kharif,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Kharif,Kharif,Kharif,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Autumn,Autumn,Autumn,Rabi,Rabi,Rabi,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Whole Year,Whole Year,Whole Year,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Autumn,Autumn,Autumn,Kharif,Kharif,Kharif,Winter,Winter,Winter,Whole Year,Whole Year,Whole Year,Kharif,Kharif,Kharif,Autumn,Autumn,Autumn,Winter,Winter,Winter,Kharif,Kharif,Kharif,Rabi,Rabi,Rabi,Whole Year,Whole Year,Whole Year
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Manipur,Bishnupur,1997 - 1998,2,5,2.5,,,,,,,,,,,,,,,,17,40,2.35,,,,,,,7,2,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,1998 - 1999,,,,10,20,2,10,20,2,30,70,2.33,10,20,2,,,,,,,"1,470.00","3,360.00",2.29,"16,140.00","42,510.00",2.63,,,,160,"5,230.00",32.69,10,330,33,140,"4,570.00",32.64,160,"5,230.00",32.69,160,100,0.63,280,160,0.57,190,120,0.63,,,,,,,10,20,2,,,,,,,,,,10,20,2,10,20,2,,,,60,30,0.5,60,30,0.5,110,60,0.55,,,,,,,160,840,5.25,190,990,5.21,,,,,,,,,,440,200,0.45,,,,20,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,1999 - 2000,,,,,,,,,,,,,,,,10,20,2,"18,360.00","48,930.00",2.67,,,,,,,60,"1,960.00",32.67,,,,,,,,,,,,,,,,,,,,,,540,320,0.59,,,,,,,20,30,1.5,,,,,,,,,,,,,20,40,2,,,,,,,,,,110,50,0.45,,,,,,,,,,350,"1,830.00",5.23,,,,,,,"1,010.00",450,0.45,,,,,,,60,30,0.5,,,,,,,440,"5,660.00",12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,2000 - 2001,,,,,,,,,,,,,,,,90,190,2.11,"18,660.00","50,320.00",2.7,,,,,,,120,"3,920.00",32.67,,,,,,,,,,,,,,,,,,,,,,380,220,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,80,0.5,,,,,,,,,,390,"2,040.00",5.23,,,,,,,200,80,0.4,,,,,,,,,,,,,,,,210,"2,710.00",12.9,,,,,,,,,,,,,270,130,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,2001 - 2002,,,,,,,,,,,,,,,,100,210,2.1,"19,020.00","51,410.00",2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,280,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,80,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,"6,560.00",12.86,,,,,,,,,,,,,360,180,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,2002 - 2003,,,,,,,,,,,,,,,,20,40,2,"17,050.00","48,370.00",2.84,,,,,,,100,"3,260.00",32.6,,,,,,,,,,,,,,,,,,,,,,450,270,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,0.6,,,,,,,,,,370,"1,940.00",5.24,,,,,,,,,,,,,,,,170,110,0.65,,,,,,,181,"1,300.00",7.18,,,,,,,,,,,,,140,70,0.5,165,570,3.45,46,280,6.09,270,"3,150.00",11.67,50,370,7.4,235,"2,400.00",10.21,108,370,3.43,60,250,4.17,30,170,5.67,"1,350.00","3,030.00",2.24,40,210,5.25,260,"1,450.00",5.58,"1,192.00","8,800.00",7.38,60,148,2.47,30,310,10.33,60,190,3.17,,,,100,820,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,2003 - 2004,,,,,,,,,,,,,,,,80,170,2.13,"16,470.00","55,040.00",3.34,,,,,,,120,"3,920.00",32.67,,,,,,,,,,,,,,,,,,,,,,250,150,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,210,0.68,,,,,,,191,"1,499.00",7.85,,,,,,,,,,,,,360,180,0.5,170,578,3.4,54,254,4.7,310,"3,782.00",12.2,55,413,7.51,240,"2,064.00",8.6,109,523,4.8,53,243,4.58,32,163,5.09,"1,180.00","3,175.00",2.69,54,392,7.26,262,"1,520.00",5.8,"1,252.00","9,390.00",7.5,60,188,3.13,32,285,8.91,40,224,5.6,,,,108,864,8,9,48,5.33,8,58,7.25,151,619,4.1,12,79,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,2004 - 2005,,,,,,,,,,,,,,,,100,210,2.1,"21,740.00","63,390.00",2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,210,0.6,,,,,,,10,20,2,,,,,,,,,,,,,,,,,,,,,,,,,110,50,0.45,,,,,,,,,,190,990,5.21,,,,,,,90,40,0.44,,,,,,,220,150,0.68,,,,,,,10,130,13,,,,,,,,,,,,,180,90,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
