
State,District,Market,Commodity Group,Commodity,Month,Arrival Quantity 21-01-2021 to 21-04-2026,Arrival Unit,Modal Price 21-01-2021 to 21-04-2026,Price Unit,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,February-2021,3.00,Metric Tonnes,"4,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,January-2022,33.90,Metric Tonnes,"3,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,February-2022,36.90,Metric Tonnes,"3,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,March-2022,40.70,Metric Tonnes,"3,345.95",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,April-2022,37.50,Metric Tonnes,"3,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,September-2022,37.60,Metric Tonnes,"3,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,October-2022,35.70,Metric Tonnes,"3,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,November-2022,40.60,Metric Tonnes,"3,046.55",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,December-2022,42.50,Metric Tonnes,"2,900.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,January-2023,35.70,Metric Tonnes,"3,100.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,February-2023,38.70,Metric Tonnes,"3,100.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,March-2023,33.70,Metric Tonnes,"3,244.21",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,April-2023,35.00,Metric Tonnes,"3,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,May-2023,3.80,Metric Tonnes,"3,700.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,July-2023,12.50,Metric Tonnes,"4,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,August-2023,26.30,Metric Tonnes,"4,405.32",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,September-2023,14.20,Metric Tonnes,"4,560.56",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,October-2023,28.70,Metric Tonnes,"4,870.73",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,November-2023,25.90,Metric Tonnes,"4,900.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,December-2023,23.40,Metric Tonnes,"5,051.28",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,February-2024,32.10,Metric Tonnes,"5,100.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,March-2024,21.60,Metric Tonnes,"5,100.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,April-2024,25.70,Metric Tonnes,"5,100.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,May-2024,24.70,Metric Tonnes,"5,244.94",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,June-2024,21.90,Metric Tonnes,"5,300.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,July-2024,22.60,Metric Tonnes,"5,300.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,August-2024,24.40,Metric Tonnes,"5,300.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,September-2024,16.70,Metric Tonnes,"5,341.92",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,October-2024,21.80,Metric Tonnes,"5,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,November-2024,12.20,Metric Tonnes,"5,400.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,December-2024,29.80,Metric Tonnes,"5,060.07",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,January-2025,32.00,Metric Tonnes,"5,200.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,February-2025,28.80,Metric Tonnes,"5,200.00",Rs./Quintal,,,,,,,,,
Manipur,Bishnupur,Bishenpur APMC,Cereals,Rice,March-2025,28.60,Metric Tonnes,"5,200.00",Rs./Quintal,,,,,,,,,
